timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
7.2141E+12,0.34965515,0.04269409,10.211044,-3.36E-04,0.016952515,0.6066284,-18.699646,21.392822,-46.86432
7.21411E+12,0.6438446,-0.047439575,9.475922,-0.002807617,0.006958008,0.581604,-18.493652,21.598816,-46.463013
7.21411E+12,0.31739807,0.60980225,9.657043,-3.05E-04,5.80E-04,0.54582214,-18.493652,21.598816,-46.463013
7.21412E+12,-0.016235352,-0.3186798,9.993576,-0.001571655,0.010757446,0.49908447,-18.493652,21.598816,-46.463013
7.21412E+12,0.48382568,0.39517212,9.52124,-0.00227356,0.008621216,0.44184875,-18.493652,21.598816,-46.463013
7.21413E+12,-0.22476196,0.28944397,9.556946,-0.00227356,0.003829956,0.378891,-18.493652,22.059631,-47.364807
7.21413E+12,0.4724121,0.10952759,9.797501,-0.00227356,-0.005142212,0.2870636,-18.493652,22.059631,-47.364807
7.21414E+12,0.17977905,0.19969177,9.55011,0.002456665,-7.48E-04,0.21533203,-18.493652,22.059631,-47.364807
7.21414E+12,-0.09907532,0.11872864,9.6080475,0.003067017,-0.001846314,0.1552887,-18.493652,22.059631,-47.364807
7.21415E+12,0.046310425,0.1642456,9.707382,7.63E-05,-0.004165649,0.102127075,-17.276001,22.384644,-48.236084
7.21415E+12,0.12539673,0.30732727,9.600449,-1.37E-04,-0.004302979,0.06915283,-17.276001,22.384644,-48.236084
7.21416E+12,0.01802063,0.1988678,9.568222,0.001968384,-0.004302979,0.044799805,-17.276001,22.384644,-48.236084
7.21416E+12,-0.17308044,0.08004761,9.58606,0.001983643,-0.003219605,0.021987915,-15.917969,22.114563,-47.972107
7.21417E+12,-0.23402405,0.0619812,9.549942,0.001983643,-0.003219605,0.021987915,-15.917969,22.114563,-47.972107
7.21417E+12,-0.21855164,0.04171753,9.65863,9.31E-04,-3.05E-05,0.002975464,-15.917969,22.114563,-47.972107
7.21418E+12,-0.19119263,0.0625,9.635681,0.001998901,-3.05E-05,-3.66E-04,-15.917969,22.114563,-47.972107
7.21418E+12,-0.23760986,0.07017517,9.673523,0.00189209,-2.44E-04,-4.58E-04,-16.899109,22.381592,-47.709656
7.21419E+12,-0.20533752,0.065338135,9.588211,9.31E-04,-0.002166748,-0.001434326,-16.899109,22.381592,-47.709656
7.21419E+12,-0.22322083,0.07232666,9.651276,4.43E-04,-0.002166748,-0.001586914,-16.899109,22.381592,-47.709656
7.2142E+12,-0.22091675,0.06843567,9.657562,-0.001785278,-0.002166748,-0.002655029,-16.899109,22.381592,-47.709656
7.2142E+12,-0.21780396,0.06175232,9.620163,9.31E-04,-0.002166748,-0.003295898,-17.155457,22.721863,-47.921753
7.21421E+12,-0.20831299,9.46E-04,9.628189,9.31E-04,-0.002166748,-0.001190186,-17.155457,22.721863,-47.921753
7.21421E+12,-0.19216919,0.05343628,9.62999,0.001174927,-0.002166748,-3.66E-04,-17.155457,22.721863,-47.921753
7.21422E+12,-0.20149231,0.06529236,9.623199,0.001998901,-0.00189209,-6.41E-04,-17.155457,22.721863,-47.921753
7.21422E+12,-0.21511841,0.06390381,9.603455,0.002288818,-0.001403809,-0.001434326,-16.604614,22.801208,-48.306274
7.21423E+12,-0.22425842,0.0526886,9.623047,0.002746582,-0.002166748,-0.001739502,-16.604614,22.801208,-48.306274
7.21423E+12,-0.21574402,0.05696106,9.66803,0.001403809,-0.001876831,-0.002502441,-16.604614,22.801208,-48.306274
7.21424E+12,-0.19740295,0.04711914,9.636963,2.44E-04,-7.17E-04,-0.002105713,-16.604614,22.801208,-48.306274
7.21424E+12,-0.193573,0.0340271,9.672516,9.31E-04,-4.43E-04,-0.001831055,-17.111206,23.306274,-47.81189
7.21425E+12,-0.18482971,0.06391907,9.655838,9.31E-04,-0.001968384,-0.002059937,-17.111206,23.306274,-47.81189
7.21425E+12,-0.21470642,0.06599426,9.610428,0.001373291,-0.003234863,-0.001876831,-17.111206,23.306274,-47.81189
7.21426E+12,-0.25042725,0.04045105,9.643311,0.001541138,-0.003234863,-0.003387451,-17.111206,23.306274,-47.81189
